dataset,window_tag,hidden_tag,group_mode,ranking,split,metric,n_groups,removed_groups,remaining_groups,remaining_pct,value
FD001,W30_step1,h10,sensors,randomavg,val,rmse,15,4,11,0.7333333333333333,41.915033044448236
FD001,W30_step1,h10,sensors,randomavg,val,r2,15,4,11,0.7333333333333333,0.6434178352355957
FD001,W30_step1,h10,sensors,randomavg,train,mae,15,5,10,0.6666666666666666,20.621925354003906
FD001,W30_step1,h10,sensors,randomavg,train,rmse,15,5,10,0.6666666666666666,30.83616215556623
FD001,W30_step1,h10,sensors,randomavg,train,r2,15,5,10,0.6666666666666666,0.742509126663208
FD001,W30_step1,h10,sensors,randomavg,val,mae,15,5,10,0.6666666666666666,27.56839942932129
FD001,W30_step1,h10,sensors,randomavg,val,rmse,15,5,10,0.6666666666666666,42.378726041475545
FD001,W30_step1,h10,sensors,randomavg,val,r2,15,5,10,0.6666666666666666,0.6354846954345703
FD001,W30_step1,h10,sensors,randomavg,train,mae,15,6,9,0.6,20.69829750061035
FD001,W30_step1,h10,sensors,randomavg,train,rmse,15,6,9,0.6,30.92564285091237
FD001,W30_step1,h10,sensors,randomavg,train,r2,15,6,9,0.6,0.7410125732421875
FD001,W30_step1,h10,sensors,randomavg,val,mae,15,6,9,0.6,27.777782440185547
FD001,W30_step1,h10,sensors,randomavg,val,rmse,15,6,9,0.6,42.572946932845454
FD001,W30_step1,h10,sensors,randomavg,val,r2,15,6,9,0.6,0.6321358680725098
FD001,W30_step1,h10,sensors,randomavg,train,mae,15,7,8,0.5333333333333333,20.977304458618164
FD001,W30_step1,h10,sensors,randomavg,train,rmse,15,7,8,0.5333333333333333,31.20788764041172
FD001,W30_step1,h10,sensors,randomavg,train,r2,15,7,8,0.5333333333333333,0.736263632774353
FD001,W30_step1,h10,sensors,randomavg,val,mae,15,7,8,0.5333333333333333,28.06064796447754
FD001,W30_step1,h10,sensors,randomavg,val,rmse,15,7,8,0.5333333333333333,42.476152259146396
FD001,W30_step1,h10,sensors,randomavg,val,r2,15,7,8,0.5333333333333333,0.6338067054748535
FD001,W30_step1,h10,sensors,randomavg,train,mae,15,8,7,0.4666666666666667,21.305015563964844
FD001,W30_step1,h10,sensors,randomavg,train,rmse,15,8,7,0.4666666666666667,31.535480196605043
FD001,W30_step1,h10,sensors,randomavg,train,r2,15,8,7,0.4666666666666667,0.7306976318359375
FD001,W30_step1,h10,sensors,randomavg,val,mae,15,8,7,0.4666666666666667,28.49229621887207
FD001,W30_step1,h10,sensors,randomavg,val,rmse,15,8,7,0.4666666666666667,42.622104579996105
FD001,W30_step1,h10,sensors,randomavg,val,r2,15,8,7,0.4666666666666667,0.6312859058380127
FD001,W30_step1,h10,sensors,randomavg,train,mae,15,9,6,0.4,21.227577209472656
FD001,W30_step1,h10,sensors,randomavg,train,rmse,15,9,6,0.4,31.667228399280344
FD001,W30_step1,h10,sensors,randomavg,train,r2,15,9,6,0.4,0.7284427881240845
FD001,W30_step1,h10,sensors,randomavg,val,mae,15,9,6,0.4,28.716468811035156
FD001,W30_step1,h10,sensors,randomavg,val,rmse,15,9,6,0.4,42.450413397942896
FD001,W30_step1,h10,sensors,randomavg,val,r2,15,9,6,0.4,0.6342504024505615
FD001,W30_step1,h10,sensors,randomavg,train,mae,15,10,5,0.3333333333333333,21.773603439331055
FD001,W30_step1,h10,sensors,randomavg,train,rmse,15,10,5,0.3333333333333333,32.1011261454281
FD001,W30_step1,h10,sensors,randomavg,train,r2,15,10,5,0.3333333333333333,0.7209501266479492
