dataset,window_tag,hidden,mode,bin,draw_source,draw,repeat,out_dir,group,survival_steps,survival_fraction,first_n0_present,deepest_n0_present,max_n0_in_run,n_steps_in_run
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,13,13,0.4482758620689655,29,17,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,14,22,0.7586206896551724,29,8,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,15,7,0.2413793103448276,29,23,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,16,16,0.5517241379310345,29,14,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,17,9,0.3103448275862069,29,21,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,18,19,0.6551724137931034,29,11,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,19,12,0.41379310344827586,29,18,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,20,26,0.896551724137931,29,4,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,21,18,0.6206896551724138,29,12,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,23,20,0.6896551724137931,29,10,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,24,17,0.5862068965517241,29,13,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,25,24,0.8275862068965517,29,6,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,26,25,0.8620689655172413,29,5,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,27,27,0.9310344827586207,29,3,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,28,23,0.7931034482758621,29,7,29,29
FD001,W30_step1,10,windows,low,train,0,0,results/time_trust_stability_lowrul/FD001/W30_step1/h10/windows/low/draw_000_n_100_rulmean_13.870_rep_000/results/FD001/W30_step1/h10/windows__mlp_transfer__capped_slack0.000,29,21,0.7241379310344828,29,9,29,29
