dataset,window_tag,hidden,mode,bin,draw_source,n0_value,n_runs,mean_selected_count,mean_pairwise_jaccard,min_pairwise_jaccard,max_pairwise_jaccard
FD002,W30_step1,10,sensors,low,train,12,5,12.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,13,5,13.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,14,5,14.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,15,5,15.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,16,5,16.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,17,5,17.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,18,5,18.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,19,5,19.0,1.0,1.0,1.0
FD002,W30_step1,10,sensors,low,train,20,5,20.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,1,5,1.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,2,5,2.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,3,5,3.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,4,5,4.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,5,5,5.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,6,5,6.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,7,5,7.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,8,5,8.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,9,5,9.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,10,5,10.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,11,5,11.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,12,5,12.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,13,5,13.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,14,5,14.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,15,5,15.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,16,5,16.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,17,5,17.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,18,5,18.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,19,5,19.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,20,5,20.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,21,5,21.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,22,5,22.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,23,5,23.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,24,5,24.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,25,5,25.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,26,5,26.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,27,5,27.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,28,5,28.0,1.0,1.0,1.0
FD002,W30_step1,10,windows,low,train,29,5,29.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,1,5,1.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,2,5,2.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,3,5,3.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,4,5,4.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,5,5,5.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,6,5,6.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,7,5,7.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,8,5,8.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,9,5,9.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,10,5,10.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,11,5,11.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,12,5,12.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,13,5,13.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,14,5,14.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,15,5,15.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,16,5,16.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,17,5,17.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,18,5,18.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,19,5,19.0,1.0,1.0,1.0
FD002,W30_step1,10 10,sensors,low,train,20,5,20.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,1,5,1.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,2,5,2.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,3,5,3.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,4,5,4.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,5,5,5.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,6,5,6.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,7,5,7.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,8,5,8.0,0.9111111111111111,0.7777777777777778,1.0
FD002,W30_step1,10 10,windows,low,train,9,5,9.0,0.9199999999999999,0.8,1.0
FD002,W30_step1,10 10,windows,low,train,10,5,10.0,0.9272727272727274,0.8181818181818182,1.0
FD002,W30_step1,10 10,windows,low,train,11,5,11.0,0.876923076923077,0.6923076923076923,1.0
FD002,W30_step1,10 10,windows,low,train,12,5,12.0,0.9384615384615385,0.8461538461538461,1.0
FD002,W30_step1,10 10,windows,low,train,13,5,13.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,14,5,14.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,15,5,15.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,16,5,16.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,17,5,17.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,18,5,18.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,19,5,19.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,20,5,20.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,21,5,21.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,22,5,22.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,23,5,23.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,24,5,24.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,25,5,25.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,26,5,26.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,27,5,27.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,28,5,28.0,1.0,1.0,1.0
FD002,W30_step1,10 10,windows,low,train,29,5,29.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,sensors,low,train,1,5,1.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,sensors,low,train,2,5,2.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,sensors,low,train,3,5,3.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,sensors,low,train,4,5,4.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,sensors,low,train,5,5,5.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,sensors,low,train,6,5,6.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,sensors,low,train,7,5,7.0,0.85,0.75,1.0
FD002,W30_step1,10 10 10,sensors,low,train,8,5,8.0,0.8666666666666666,0.7777777777777778,1.0
FD002,W30_step1,10 10 10,sensors,low,train,9,5,9.0,0.8800000000000001,0.8,1.0
FD002,W30_step1,10 10 10,sensors,low,train,10,5,10.0,0.890909090909091,0.8181818181818182,1.0
FD002,W30_step1,10 10 10,sensors,low,train,11,5,11.0,0.9,0.8333333333333334,1.0
FD002,W30_step1,10 10 10,sensors,low,train,12,5,12.0,0.9076923076923077,0.8461538461538461,1.0
FD002,W30_step1,10 10 10,sensors,low,train,13,5,13.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,sensors,low,train,14,5,14.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,sensors,low,train,15,5,15.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,sensors,low,train,16,5,16.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,sensors,low,train,17,5,17.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,sensors,low,train,18,5,18.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,sensors,low,train,19,5,19.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,sensors,low,train,20,5,20.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,1,5,1.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,2,5,2.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,3,5,3.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,4,5,4.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,5,5,5.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,6,5,6.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,7,5,7.0,0.9,0.75,1.0
FD002,W30_step1,10 10 10,windows,low,train,8,5,8.0,0.9111111111111111,0.7777777777777778,1.0
FD002,W30_step1,10 10 10,windows,low,train,9,5,9.0,0.9199999999999999,0.8,1.0
FD002,W30_step1,10 10 10,windows,low,train,10,5,10.0,0.9272727272727274,0.8181818181818182,1.0
FD002,W30_step1,10 10 10,windows,low,train,11,5,11.0,0.9333333333333333,0.8333333333333334,1.0
FD002,W30_step1,10 10 10,windows,low,train,12,5,12.0,0.9384615384615385,0.8461538461538461,1.0
FD002,W30_step1,10 10 10,windows,low,train,13,5,13.0,0.9428571428571428,0.8571428571428571,1.0
FD002,W30_step1,10 10 10,windows,low,train,14,5,14.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,15,5,15.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,16,5,16.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,17,5,17.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,18,5,18.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,19,5,19.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,20,5,20.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,21,5,21.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,22,5,22.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,23,5,23.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,24,5,24.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,25,5,25.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,26,5,26.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,27,5,27.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,28,5,28.0,1.0,1.0,1.0
FD002,W30_step1,10 10 10,windows,low,train,29,5,29.0,1.0,1.0,1.0
FD003,W30_step1,10,sensors,low,train,1,5,1.0,0.0,0.0,0.0
FD003,W30_step1,10,sensors,low,train,2,5,2.0,0.26666666666666666,0.0,1.0
FD003,W30_step1,10,sensors,low,train,3,5,3.0,0.26,0.0,0.5
FD003,W30_step1,10,sensors,low,train,4,5,4.0,0.32285714285714284,0.0,0.6
FD003,W30_step1,10,sensors,low,train,5,5,5.0,0.3214285714285714,0.1111111111111111,0.6666666666666666
FD003,W30_step1,10,sensors,low,train,6,5,6.0,0.35051948051948056,0.09090909090909091,0.7142857142857143
FD003,W30_step1,10,sensors,low,train,7,5,7.0,0.3989393939393939,0.16666666666666666,0.75
FD003,W30_step1,10,sensors,low,train,8,5,8.0,0.5115151515151515,0.3333333333333333,1.0
FD003,W30_step1,10,sensors,low,train,9,5,9.0,0.5709090909090909,0.5,0.8
FD003,W30_step1,10,sensors,low,train,10,5,10.0,0.6561771561771562,0.5384615384615384,0.8181818181818182
FD003,W30_step1,10,sensors,low,train,11,5,11.0,0.7124542124542124,0.5714285714285714,0.8333333333333334
FD003,W30_step1,10,sensors,low,train,12,5,12.0,0.767032967032967,0.7142857142857143,0.8461538461538461
FD003,W30_step1,10,sensors,low,train,13,5,13.0,0.8219047619047618,0.7333333333333333,1.0
FD003,W30_step1,10,sensors,low,train,14,5,14.0,0.9066666666666668,0.8666666666666667,1.0
FD003,W30_step1,10,sensors,low,train,15,5,15.0,0.9125,0.875,1.0
FD003,W30_step1,10,windows,low,train,1,5,1.0,0.6,0.0,1.0
