dataset,window_tag,hidden_tag,group_mode,method,random_trial,n_groups,n_points,retention_auc,retention_auc_20_80,retention_auc_20_80_raw,retention_at_20,retention_at_80,mae_auc,mae_auc_20_80,mae_auc_20_80_raw,mae_at_20,mae_at_80,rmse_auc,rmse_auc_20_80,rmse_auc_20_80_raw,rmse_at_20,rmse_at_80,partial_auc_lo,partial_auc_hi,mae_full,rmse_full,mae_empty,rmse_empty,mask_value,ranking_file,ablation_ranking_split
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,6,5,6,0.8002958431408298,0.8837954422749497,0.5302772653649699,0.5585650868243737,1.1416206909342248,11.338904285430909,11.010438919067381,6.60626335144043,12.289809226989746,9.996222496032715,14.240553665161134,13.845122973124186,8.307073783874513,15.776654243469238,12.267733573913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,7,5,6,0.6645785356503956,0.7254483285456508,0.43526899712739053,0.6155450139533327,0.6775503712767172,11.872780323028564,11.633334636688232,6.98000078201294,12.065665245056152,11.821752548217773,15.068376922607422,14.85780874888102,8.914685249328613,15.606162071228027,14.64034366607666,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,8,5,6,1.008761374129932,1.1380309189982627,0.6828185513989578,0.9864030463382533,1.2730251809714894,10.518855953216551,10.010343710581461,6.006206226348877,10.606807708740234,9.4793119430542,13.235618972778322,12.61669317881266,7.570015907287598,13.299564361572266,12.066055297851562,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,9,5,6,0.6156603886568653,0.653414738077927,0.3920488428467563,0.5585650868243737,0.6775503712767172,12.065211391448976,11.916695753733316,7.150017452239991,12.289809226989746,11.821752548217773,15.146820068359373,14.960131963094073,8.976079177856445,15.776654243469238,14.64034366607666,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,10,5,6,0.9487255568181019,1.0997808955426995,0.6598685373256198,0.6155450139533327,1.2730251809714894,10.755020999908446,10.160809199015299,6.09648551940918,12.065665245056152,9.4793119430542,13.647544670104981,12.918803056081137,7.751281833648683,15.606162071228027,12.066055297851562,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,11,5,6,0.9345897676529478,1.0762212469341093,0.6457327481604657,0.6155450139533327,1.2730251809714894,10.810627460479735,10.253486633300781,6.15209197998047,12.065665245056152,9.4793119430542,13.696938514709473,13.001126130421955,7.8006756782531745,15.606162071228027,12.066055297851562,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,12,5,6,0.7600185559567312,0.8541853492955613,0.5125112095773369,0.33345277285971925,1.1416206909342248,11.497344493865965,11.126917203267416,6.67615032196045,13.175341606140137,9.996222496032715,14.492237281799316,14.074649651845295,8.444789791107178,16.916330337524414,12.267733573913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,13,5,6,0.9487255568181019,1.0997808955426995,0.6598685373256198,0.6155450139533327,1.2730251809714894,10.755020999908446,10.160809199015299,6.09648551940918,12.065665245056152,9.4793119430542,13.647544670104981,12.918803056081137,7.751281833648683,15.606162071228027,12.066055297851562,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,14,5,6,0.6417725035825796,0.6682856056056735,0.40097136336340417,0.527557195815285,0.8804542063764706,11.962493228912352,11.858197689056395,7.114918613433837,12.411786079406738,11.023582458496094,14.96818790435791,14.791532039642332,8.874919223785401,16.204620361328125,13.437655448913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,15,5,6,0.6437418011593715,0.6907204377272775,0.41443226263636657,0.6155450139533327,0.6775503712767172,11.954746532440186,11.769944985707598,7.06196699142456,12.065665245056152,11.821752548217773,15.089367485046386,14.892793019612627,8.935675811767577,15.606162071228027,14.64034366607666,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,16,5,6,0.8427179021829068,0.9231014711507076,0.5538608826904247,0.6155450139533327,1.2730251809714894,11.172027111053465,10.855819384256998,6.5134916305542,12.065665245056152,9.4793119430542,14.189867973327637,13.822675228118896,8.293605136871339,15.606162071228027,12.066055297851562,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
FAKE_DATASET,W10_step1,h10,sensors,random_permutation,17,5,6,0.9008930326916005,1.0236788457002133,0.6142073074201281,0.9864030463382533,0.8804542063764706,10.94318151473999,10.460174560546875,6.276104736328126,10.606807708740234,11.023582458496094,13.575095748901367,12.953887780507404,7.772332668304443,13.299564361572266,13.437655448913574,0.2,0.8,10.55332088470459,12.98997688293457,14.487056732177734,18.300434112548828,0.0,,
